id;givens;agility;used;seconds;variables;n_phases;conflicts;level;MB;limit;learned;original
17-0;17;14.5;94.4;0.0;267;5;278;15.1;0.4;1210;269;61
17-1;17;8.3;88.5;0.0;286;3;134;6.9;0.3;1100;119;63
17-2;17;6.9;91.6;0.0;265;2;102;7.7;0.3;1000;87;61
17-3;17;5.5;86.4;0.0;269;2;89;9.4;0.3;1000;66;64
17-4;17;0.0;100.0;0.0;0;2;73;0.0;0.3;0;0;0
17-5;17;7.4;93.0;0.0;284;3;130;8.3;0.3;1100;112;62
17-6;17;7.0;96.4;0.0;292;3;125;6.8;0.3;1100;108;64
17-7;17;12.5;95.1;0.0;293;5;359;12.6;0.4;1210;350;64
17-8;17;7.5;92.0;0.0;282;3;117;8.1;0.3;1100;96;64
17-9;17;10.8;94.8;0.0;318;5;258;13.1;0.4;1210;253;64
17-10;17;14.0;94.9;0.0;213;8;574;10.1;0.4;1464;547;64
17-11;17;12.1;97.5;0.0;303;5;282;10.5;0.4;1210;272;64
17-12;17;4.1;80.8;0.0;272;2;73;9.0;0.3;1000;53;64
17-13;17;2.1;78.6;0.0;259;2;45;8.4;0.3;1000;25;62
17-14;17;8.7;95.2;0.0;293;4;111;11.2;0.3;1100;107;64
17-15;17;7.2;90.1;0.0;231;2;113;7.0;0.3;1000;76;58
17-16;17;6.5;90.0;0.0;306;2;91;7.7;0.3;1000;86;64
17-17;17;3.0;72.2;0.0;283;2;66;5.5;0.3;1000;51;63
17-18;17;4.8;85.0;0.0;310;2;56;9.4;0.3;1000;55;64
17-19;17;4.2;82.3;0.0;306;2;64;9.1;0.3;1000;62;64
17-20;17;8.3;87.1;0.0;306;4;142;13.4;0.3;1100;137;64
17-21;17;1.6;89.3;0.0;294;2;28;11.9;0.3;1000;10;64
17-22;17;10.4;91.9;0.0;296;5;252;12.9;0.4;1210;230;64
17-23;17;5.1;89.7;0.0;305;2;68;11.3;0.3;1000;68;64
17-24;17;11.5;94.7;0.0;266;5;267;11.5;0.4;1210;250;64
17-25;17;4.5;91.9;0.0;210;2;101;6.8;0.3;1000;44;58
17-26;17;14.6;93.4;0.0;310;7;502;17.2;0.4;1331;501;64
17-27;17;5.0;84.2;0.0;270;2;78;8.5;0.3;1000;60;63
17-28;17;0.0;100.0;0.0;0;2;44;0.0;0.3;0;0;0
17-29;17;10.9;95.7;0.0;310;4;188;9.0;0.3;1100;182;64
17-30;17;15.5;96.2;0.0;307;13;1843;16.0;0.7;2142;1838;64
17-31;17;11.1;92.0;0.0;247;4;230;8.4;0.4;1100;206;64
17-32;17;10.2;94.1;0.0;166;5;245;11.6;0.4;1210;213;64
17-33;17;7.7;91.1;0.0;303;3;151;8.5;0.3;1100;142;64
17-34;17;12.4;89.3;0.0;291;5;284;13.8;0.4;1210;269;64
17-35;17;9.9;91.6;0.0;284;4;217;9.9;0.4;1100;204;64
17-36;17;11.8;97.9;0.0;213;3;216;9.8;0.3;1100;166;64
17-37;17;11.1;92.2;0.0;274;4;237;10.6;0.3;1100;210;63
17-38;17;6.6;96.4;0.0;233;2;109;9.2;0.3;1000;85;59
17-39;17;0.6;86.7;0.0;237;2;31;6.3;0.3;1000;5;59
17-40;17;7.7;89.6;0.0;279;2;116;9.3;0.3;1000;85;64
17-41;17;4.4;89.6;0.0;268;2;61;12.1;0.3;1000;48;61
17-42;17;2.4;86.3;0.0;284;2;40;8.1;0.3;1000;20;64
17-43;17;11.4;97.8;0.0;279;4;203;12.4;0.4;1100;176;64
17-44;17;12.1;94.2;0.0;246;5;318;12.2;0.4;1210;292;64
17-45;17;9.3;96.0;0.0;277;3;163;13.4;0.3;1100;155;64
17-46;17;5.1;85.3;0.0;314;2;74;13.5;0.3;1000;72;64
17-47;17;4.4;80.5;0.0;299;2;82;8.8;0.3;1000;68;64
17-48;17;14.7;99.3;0.0;293;8;489;14.0;0.4;1331;471;64
17-49;17;6.8;97.8;0.0;116;2;97;6.8;0.3;1000;60;63
17-50;17;3.4;87.1;0.0;292;2;46;8.9;0.3;1000;32;64
17-51;17;11.5;87.4;0.0;293;5;328;9.8;0.4;1210;298;64
17-52;17;10.9;91.5;0.0;260;4;190;7.8;0.3;1100;161;64
17-53;17;2.6;79.3;0.0;248;2;69;5.2;0.3;1000;33;60
17-54;17;1.6;83.4;0.0;306;2;24;5.1;0.3;1000;22;64
17-55;17;7.7;89.4;0.0;288;3;147;9.7;0.3;1100;136;64
17-56;17;12.2;92.9;0.0;265;6;407;8.8;0.4;1331;394;64
17-57;17;0.9;73.4;0.0;250;2;24;6.0;0.3;1000;6;59
17-58;17;10.9;94.7;0.0;258;4;206;10.7;0.3;1100;181;60
17-59;17;14.1;100.0;0.0;311;10;793;14.3;0.4;1610;786;64
17-60;17;13.5;99.0;0.0;310;6;454;15.4;0.4;1331;448;64
17-61;17;3.6;82.4;0.0;280;2;57;8.6;0.3;1000;44;64
17-62;17;8.6;95.9;0.0;239;3;136;9.3;0.3;1100;98;60
17-63;17;12.3;96.2;0.0;248;5;274;9.5;0.4;1210;250;64
17-64;17;8.9;93.8;0.0;261;4;165;9.7;0.3;1100;147;64
17-65;17;9.3;96.7;0.0;300;3;123;13.7;0.3;1100;115;64
17-66;17;14.4;100.0;0.0;312;10;839;17.3;0.5;1610;828;64
17-67;17;8.4;90.9;0.0;305;4;174;8.9;0.3;1100;171;64
17-68;17;7.3;89.7;0.0;287;4;120;8.0;0.3;1100;103;64
17-69;17;10.7;90.0;0.0;268;4;162;9.9;0.3;1100;136;62
17-70;17;2.9;90.1;0.0;299;2;54;8.1;0.3;1000;41;64
17-71;17;9.5;92.7;0.0;307;4;206;8.9;0.3;1100;202;64
17-72;17;13.2;97.1;0.0;286;4;304;11.8;0.4;1210;284;64
17-73;17;15.7;95.5;0.0;298;8;526;12.3;0.4;1331;513;64
17-74;17;4.2;92.0;0.0;262;2;74;6.7;0.3;1000;50;64
17-75;17;10.8;90.3;0.0;219;5;264;6.3;0.3;1210;228;59
17-76;17;1.3;90.8;0.0;262;2;32;2.3;0.3;1000;7;63
17-77;17;11.4;87.7;0.0;275;5;237;9.2;0.4;1210;217;64
17-78;17;2.7;83.5;0.0;301;2;42;5.7;0.3;1000;37;64
17-79;17;7.1;87.4;0.0;270;2;101;7.1;0.3;1000;77;62
17-80;17;11.2;95.2;0.0;310;4;220;9.8;0.3;1100;216;64
17-81;17;0.0;100.0;0.0;0;2;56;0.0;0.3;0;0;0
17-82;17;8.9;89.7;0.0;234;4;179;8.2;0.3;1100;144;60
17-83;17;1.7;79.1;0.0;221;2;56;3.5;0.3;1000;17;59
17-84;17;11.5;96.8;0.0;295;4;215;10.9;0.3;1100;208;64
17-85;17;6.9;93.7;0.0;271;2;108;7.9;0.3;1000;79;63
17-86;17;5.8;88.1;0.0;301;2;79;8.5;0.3;1000;72;64
17-87;17;4.8;96.8;0.0;215;2;72;7.3;0.3;1000;46;54
17-88;17;11.4;94.4;0.0;312;5;303;10.4;0.4;1210;299;64
17-89;17;10.3;97.5;0.0;312;4;208;14.2;0.4;1100;207;64
17-90;17;4.1;86.0;0.0;252;2;77;7.5;0.3;1000;49;64
17-91;17;3.6;89.4;0.0;226;2;69;5.6;0.3;1000;30;58
17-92;17;5.1;83.7;0.0;302;2;71;7.6;0.3;1000;56;64
17-93;17;3.6;92.7;0.0;311;2;53;8.2;0.3;1000;50;64
17-94;17;8.5;90.5;0.0;307;4;168;13.4;0.3;1100;167;64
17-95;17;11.8;91.9;0.0;296;6;393;8.7;0.4;1331;375;64
17-96;17;12.8;95.9;0.0;311;6;384;11.7;0.4;1331;375;64
17-97;17;12.0;91.2;0.0;310;6;433;9.6;0.4;1331;418;64
17-98;17;2.0;90.4;0.0;240;2;51;7.5;0.3;1000;18;60
17-99;17;1.8;80.5;0.0;306;2;23;10.5;0.3;1000;22;64
17-100;17;11.9;92.7;0.0;302;5;241;11.3;0.4;1210;239;64
17-101;17;14.0;99.3;0.0;261;5;361;10.3;0.4;1210;333;62
17-102;17;4.0;92.0;0.0;230;2;78;7.1;0.3;1000;45;59
17-103;17;5.8;86.0;0.0;307;2;85;8.3;0.3;1000;85;64
17-104;17;11.5;97.5;0.0;212;3;193;8.3;0.3;1100;151;63
17-105;17;14.0;95.3;0.0;308;10;783;13.1;0.4;1610;776;64
17-106;17;11.0;86.7;0.0;302;5;224;10.8;0.3;1210;221;64
17-107;17;5.9;89.8;0.0;267;2;98;9.5;0.3;1000;73;64
17-108;17;7.9;96.7;0.0;297;4;114;10.3;0.3;1100;102;64
17-109;17;2.4;88.3;0.0;305;2;27;8.1;0.3;1000;27;64
17-110;17;9.8;93.3;0.0;314;4;175;9.8;0.4;1100;171;64
17-111;17;2.9;78.7;0.0;307;2;35;9.4;0.3;1000;34;64
17-112;17;10.5;81.6;0.0;207;4;288;7.6;0.4;1210;255;64
17-113;17;12.9;97.5;0.0;297;5;240;11.1;0.4;1210;233;64
17-114;17;11.9;97.0;0.0;304;5;251;17.3;0.4;1210;243;64
17-115;17;4.4;75.6;0.0;300;2;74;6.9;0.3;1000;70;64
17-116;17;3.9;83.4;0.0;285;2;61;8.9;0.3;1000;47;64
17-117;17;13.0;93.0;0.0;309;5;362;13.2;0.4;1210;362;64
17-118;17;3.8;84.5;0.0;220;2;80;5.0;0.3;1000;53;58
17-119;17;0.0;100.0;0.0;0;2;62;0.0;0.3;0;0;0
